,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.textDisplay
0,"LETS SMASH 2,000 LIKES 👍 
COMMENT & SUBSCRIBE ✅","LETS SMASH 2,000 LIKES 👍 <br>COMMENT &amp; SUBSCRIBE ✅"
1,"Also let's talk about Dan Ballard, brought in to replace Mepham which was a huge call as he has been excellent but my god, 20 clearances, 11 duesl and he won every single one, a colossus!","Also let&#39;s talk about Dan Ballard, brought in to replace Mepham which was a huge call as he has been excellent but my god, 20 clearances, 11 duesl and he won every single one, a colossus!"
2,What a time for Sunderland to finally beat Coventry..,What a time for Sunderland to finally beat Coventry..
3,Hope Sunderland make it to Wembley,Hope Sunderland make it to Wembley
4,WOW that was a very loud cheer when Sunderland scored,WOW that was a very loud cheer when Sunderland scored
5,"Well done  Sunderland 
You  are  half way  there  to  Wembley 
Playoff  final  good luck 👍   from  a Fulham fan",Well done  Sunderland <br>You  are  half way  there  to  Wembley <br>Playoff  final  good luck 👍   from  a Fulham fan
6,Sophie would look much better in red and white ; ),Sophie would look much better in red and white ; )
7,"Sunderland fan here, what a display both teams put on! The Atmosphere from both home and away fans was incredible Haway the Lads","Sunderland fan here, what a display both teams put on! The Atmosphere from both home and away fans was incredible Haway the Lads"
8,"Good vlog! I was at the cbs last night cheering on Sunderland for the 2nd time this year, thankfully no trouble like last time.","Good vlog! I was at the cbs last night cheering on Sunderland for the 2nd time this year, thankfully no trouble like last time."
9,I’m surprised how confident Coventry fans were considering Sunderland were one of four teams far and away the best in the league for most of the season.,I’m surprised how confident Coventry fans were considering Sunderland were one of four teams far and away the best in the league for most of the season.
10,"Sunderand fan here, enjoy your channel, discovered it halfway through the season, have watched it since. There was so much talk about our previous meetings I think it worked against you and for us. I also thought LeBris' tactics were spot on. I do feel confident we will get over the line but if I were a Coventry fan I would take hope in the fact todays result is proof that what everyone assumes is going to happen often doesn't.","Sunderand fan here, enjoy your channel, discovered it halfway through the season, have watched it since. There was so much talk about our previous meetings I think it worked against you and for us. I also thought LeBris&#39; tactics were spot on. I do feel confident we will get over the line but if I were a Coventry fan I would take hope in the fact todays result is proof that what everyone assumes is going to happen often doesn&#39;t."
11,"Very good vlog and fair analysis Matt, Chin up","Very good vlog and fair analysis Matt, Chin up"
12,Sunderland did a good job on us. Long way back for Coventry now..,Sunderland did a good job on us. Long way back for Coventry now..
13,Sunderland fan here. Total respect for your take on the match. Remember though that our performances as of late has been terrible. May the best team win. Take care.,Sunderland fan here. Total respect for your take on the match. Remember though that our performances as of late has been terrible. May the best team win. Take care.
14,"Don't feel too bad Matt, Cardiff City fan ! Think Sheffield Utd get through anyway and come straight back down.","Don&#39;t feel too bad Matt, Cardiff City fan ! Think Sheffield Utd get through anyway and come straight back down."
15,"Fair round-up, you're about the only coventry fan ive seen give sunderland some credit","Fair round-up, you&#39;re about the only coventry fan ive seen give sunderland some credit"
16,"Thank you putting me and my niece and nephew in the video , we follow you , you made there day","Thank you putting me and my niece and nephew in the video , we follow you , you made there day"
